                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.2376,                0.76044,                 1.1898,                 0.6587,                0.47983,                0.50242,                0.21743,                 2.2705,                 2.1594,                  2.217,               0.001211,               0.001211,               0.001211
                    103,                 1.1996,                0.75838,                 1.2232,                0.70108,                0.43646,                0.52442,                0.23221,                 2.2707,                 2.3325,                 2.1581,              0.0012032,              0.0012032,              0.0012032
                    104,                 1.1926,                0.71823,                  1.137,                0.63257,                0.49724,                0.53981,                0.23323,                 2.3235,                 2.3687,                 2.1561,              0.0011954,              0.0011954,              0.0011954
                    105,                 1.2221,                0.76947,                 1.2044,                0.53351,                0.49724,                0.51268,                 0.2218,                 2.0514,                 2.3443,                 1.9606,              0.0011876,              0.0011876,              0.0011876
                    106,                  1.191,                0.78703,                 1.1769,                0.63073,                0.45297,                0.49617,                 0.2186,                 2.1223,                 2.2326,                 2.0241,              0.0011798,              0.0011798,              0.0011798
                    107,                 1.2032,                0.73254,                  1.166,                0.73852,                0.44751,                0.50726,                0.23979,                 2.1913,                 2.1339,                 2.0354,               0.001172,               0.001172,               0.001172
                    108,                 1.1818,                 0.7165,                  1.138,                0.64609,                0.50276,                0.52415,                 0.2351,                 2.3876,                 2.2085,                 2.2311,              0.0011641,              0.0011641,              0.0011641
                    109,                  1.151,                0.73429,                 1.1673,                0.69143,                0.48282,                0.57036,                0.25929,                 2.4007,                 2.3329,                  2.238,              0.0011563,              0.0011563,              0.0011563
                    110,                 1.1591,                0.71379,                 1.1723,                 0.7212,                0.47514,                0.53487,                0.24558,                 2.4251,                 2.2558,                 2.3161,              0.0011485,              0.0011485,              0.0011485
                    111,                 1.1897,                 0.7383,                  1.196,                0.55652,                0.46961,                0.47058,                0.19252,                  2.484,                 2.3853,                 2.3795,              0.0011407,              0.0011407,              0.0011407
                    112,                 1.1896,                0.70188,                 1.1551,                0.54204,                0.49171,                0.44635,                0.17829,                 2.5262,                 2.2399,                 2.3307,              0.0011329,              0.0011329,              0.0011329
                    113,                 1.0789,                0.67234,                 1.1081,                0.61221,                0.49171,                 0.4838,                0.20435,                 2.4513,                 2.1341,                 2.1878,              0.0011251,              0.0011251,              0.0011251
                    114,                 1.2687,                0.73264,                 1.2002,                0.66425,                0.43646,                0.51464,                0.23387,                 2.3574,                 2.2075,                  2.119,              0.0011173,              0.0011173,              0.0011173
                    115,                 1.2387,                0.75063,                 1.2153,                0.71269,                0.43857,                0.51095,                 0.2258,                 2.3803,                 2.5475,                 2.1395,              0.0011095,              0.0011095,              0.0011095
                    116,                 1.1427,                0.71829,                 1.1556,                0.71166,                0.46961,                0.52931,                0.23114,                 2.3096,                 2.3613,                 2.2052,              0.0011017,              0.0011017,              0.0011017
                    117,                  1.148,                0.68647,                 1.1415,                0.69607,                0.50276,                0.53187,                0.23526,                 2.3606,                 2.4905,                 2.1958,              0.0010938,              0.0010938,              0.0010938
                    118,                 1.1214,                0.68408,                 1.1916,                0.73304,                0.49724,                 0.5387,                0.22456,                 2.3458,                 2.4621,                  2.186,               0.001086,               0.001086,               0.001086
                    119,                  1.179,                 0.7396,                 1.1305,                0.58559,                0.48405,                0.48267,                0.20812,                 2.2798,                 2.5319,                 2.0963,              0.0010782,              0.0010782,              0.0010782
                    120,                 1.1341,                0.68454,                 1.1413,                0.68958,                0.45856,                0.49212,                0.21511,                 2.1723,                 2.3544,                 2.0332,              0.0010704,              0.0010704,              0.0010704
                    121,                 1.1691,                0.72659,                 1.1757,                0.66905,                0.48027,                0.50256,                0.22001,                 2.2037,                 2.5047,                 2.0561,              0.0010626,              0.0010626,              0.0010626
                    122,                 1.1021,                0.65502,                 1.1334,                0.66346,                0.42541,                0.45619,                0.20784,                 2.2327,                 2.9789,                  2.076,              0.0010548,              0.0010548,              0.0010548
                    123,                 1.1259,                 0.7033,                 1.1262,                0.69892,                0.48619,                0.53782,                0.23259,                 2.2211,                 2.6823,                 2.0673,               0.001047,               0.001047,               0.001047
                    124,                   1.09,                0.65618,                 1.0917,                0.73531,                0.45856,                0.55093,                0.23884,                 2.2919,                 2.5514,                 2.0806,              0.0010392,              0.0010392,              0.0010392
                    125,                 1.1387,                0.66641,                 1.1306,                0.66713,                0.45856,                0.48342,                0.20741,                  2.354,                 2.6216,                 2.1008,              0.0010313,              0.0010313,              0.0010313
                    126,                 1.0641,                0.69459,                 1.1535,                0.62804,                0.39181,                0.41949,                0.18371,                 2.4287,                 2.7579,                 2.2364,              0.0010235,              0.0010235,              0.0010235
                    127,                 1.0826,                 0.7185,                 1.1349,                 0.6491,                0.43646,                0.47862,                0.20078,                 2.5295,                 2.6879,                 2.2529,              0.0010157,              0.0010157,              0.0010157
                    128,                 1.0252,                0.64333,                 1.0866,                0.68788,                0.49924,                0.55885,                0.22856,                 2.5559,                 2.5972,                 2.3272,              0.0010079,              0.0010079,              0.0010079
                    129,                 1.0765,                0.60507,                 1.1015,                0.73361,                0.50209,                0.58146,                0.24359,                 2.5015,                 2.5183,                 2.2891,              0.0010001,              0.0010001,              0.0010001
                    130,                 1.0423,                0.64855,                 1.0839,                0.64095,                0.46961,                0.50609,                0.22522,                 2.3748,                 2.7367,                 2.2214,             0.00099229,             0.00099229,             0.00099229
                    131,                 1.1396,                0.68307,                 1.1539,                0.61602,                   0.39,                0.43887,                 0.1949,                 2.3702,                  3.304,                 2.1689,             0.00098448,             0.00098448,             0.00098448
                    132,                 1.1483,                0.67864,                 1.1314,                0.64954,                0.38122,                0.45073,                0.19655,                 2.3542,                 3.0045,                 2.1671,             0.00097666,             0.00097666,             0.00097666
                    133,                 1.0254,                0.62632,                 1.1024,                0.67285,                0.37017,                0.46399,                0.20085,                 2.4018,                 2.5648,                 2.2166,             0.00096885,             0.00096885,             0.00096885
                    134,                 1.0933,                0.64889,                 1.1263,                 0.5765,                0.41436,                0.44949,                0.19496,                 2.4893,                 2.5707,                 2.3375,             0.00096104,             0.00096104,             0.00096104
                    135,                  1.128,                0.63675,                 1.1229,                0.65813,                0.45856,                0.48943,                0.20939,                 2.4386,                 2.7383,                 2.2329,             0.00095323,             0.00095323,             0.00095323
                    136,                  1.098,                0.64558,                 1.1082,                0.67603,                0.44751,                0.50587,                0.22131,                 2.4469,                 2.6976,                 2.2319,             0.00094542,             0.00094542,             0.00094542
                    137,                 1.0811,                0.65281,                 1.1579,                0.74207,                0.43646,                0.53733,                0.23237,                 2.4057,                 2.6793,                 2.2331,             0.00093761,             0.00093761,             0.00093761
                    138,                 1.0058,                0.61173,                 1.1162,                0.81534,                0.42541,                0.54509,                0.24204,                 2.3717,                 2.5462,                 2.2368,             0.00092979,             0.00092979,             0.00092979
                    139,                 1.0461,                0.69115,                 1.1363,                0.64644,                0.50829,                0.56551,                0.24068,                 2.3006,                 2.2464,                 2.2187,             0.00092198,             0.00092198,             0.00092198
                    140,                  1.017,                0.57084,                 1.0901,                0.63499,                0.51934,                0.56191,                0.24719,                 2.2163,                 2.1108,                 2.1995,             0.00091417,             0.00091417,             0.00091417
                    141,                 1.0445,                0.62751,                 1.0956,                0.71107,                0.47591,                0.53074,                0.23697,                 2.2955,                 2.1657,                  2.311,             0.00090636,             0.00090636,             0.00090636
                    142,                 1.0793,                0.64896,                 1.1353,                0.62334,                0.41989,                0.47836,                0.20228,                 2.3152,                 2.4929,                 2.3005,             0.00089855,             0.00089855,             0.00089855
                    143,                 1.0677,                0.66779,                 1.1148,                0.56431,                0.44199,                0.45095,                0.19515,                 2.3556,                   2.46,                  2.234,             0.00089074,             0.00089074,             0.00089074
                    144,                 1.0925,                0.63001,                  1.077,                 0.6748,                0.43094,                0.50422,                0.21952,                 2.2281,                 2.4642,                 2.0868,             0.00088292,             0.00088292,             0.00088292
                    145,                 1.0038,                0.59221,                 1.1137,                0.62663,                0.40884,                0.46274,                0.22209,                 2.1769,                 2.5856,                 2.0657,             0.00087511,             0.00087511,             0.00087511
                    146,                 1.0372,                0.59432,                 1.0911,                0.89039,                0.31418,                0.45333,                0.21991,                 2.1438,                 2.4806,                 2.0396,              0.0008673,              0.0008673,              0.0008673
                    147,                 1.0447,                0.63373,                 1.1126,                0.73271,                0.30387,                0.41798,                0.20589,                 2.2357,                 2.3834,                 2.1897,             0.00085949,             0.00085949,             0.00085949
                    148,                 1.0087,                0.61689,                  1.093,                0.65949,                0.35359,                0.41032,                 0.1992,                 2.3063,                 2.6292,                 2.1824,             0.00085168,             0.00085168,             0.00085168
                    149,                 1.0431,                0.63624,                 1.0926,                0.70723,                 0.3737,                0.42584,                0.19585,                 2.2854,                 2.6961,                 2.2298,             0.00084387,             0.00084387,             0.00084387
                    150,                0.97703,                0.60944,                 1.0851,                0.71346,                0.39779,                0.48128,                0.21598,                 2.3376,                 2.5971,                 2.2514,             0.00083605,             0.00083605,             0.00083605
